Outcome,Predictor,Coef,StdError,DF,t_value,p_value,FDR,logPval,sig
z_lf,MT.ND2_heteroplasmic,-0.218069455391167,0.335449304653908,145.74391786639,-0.650081703451899,0.516662825884263,0.645828532355329,0.286792785007701,no
comp_overall2,MT.RNR2_heteroplasmic,-0.138005212711437,0.21542631084259,158.008746362894,-0.640614473560178,0.522701151623464,0.865058769934006,0.281746543056707,no
z_moca,MT.ATP8_heteroplasmic,0.676618263403859,1.07508539409846,138.99574687379,0.629362343789682,0.530144938369491,0.903207465648308,0.275605380722256,no
z_wll,MT.ND3_heteroplasmic,-0.623053173595715,0.997737734003919,140.183091119179,-0.624465881525202,0.533336683501898,0.952684798714205,0.272998544022829,no
comp_memory,MT.CO1_heteroplasmic,-0.220796062561244,0.355900734721087,151.504520905519,-0.620386644422857,0.535935339819456,0.947753673522063,0.270887604436988,no
z_mocam,MT.TN_heteroplasmic,-0.638999561601913,1.03022350514842,147.699109432467,-0.620253331833909,0.536046836734812,0.903711125950962,0.270797262458694,no
z_wld,MT.ND6_heteroplasmic,-0.326930214404005,0.542205148903299,122.099898312304,-0.602964053486538,0.547650939848887,0.979590438687123,0.261496162681279,no
z_moca,MT.RNR2_heteroplasmic,-0.198189181358998,0.329778316245833,115.490992767135,-0.600976994531253,0.54903299444052,0.903207465648308,0.260401555599309,no
z_af,MT.CO2_heteroplasmic,0.311293665269524,0.520331364218924,164.687515235023,0.598260429172498,0.5504880606745,0.827874452142052,0.259252095837391,no
z_moca,MT.ND2_heteroplasmic,0.244489550190699,0.408951447690504,113.509687716818,0.597844931400585,0.551134324274905,0.903207465648308,0.258742540564108,no
z_mocam,MT.DLOOP1_heteroplasmic,-0.246744333967944,0.412711130273057,110.968564684605,-0.597862078022207,0.551150152043421,0.903711125950962,0.25873006844339,no
z_moca,MT.DLOOP2_heteroplasmic,-0.403578214564753,0.676854078865937,99.1789181339788,-0.596255865431061,0.552362778457083,0.903207465648308,0.257775594494811,no
z_wld,MT.RNR1_heteroplasmic,0.205520675867145,0.356342197844282,156.578823428999,0.576750879100081,0.564935988862861,0.979590438687123,0.248000757947868,no
z_af,MT.DLOOP2_heteroplasmic,-0.27717065252672,0.490415381527567,145.330827713793,-0.56517528398758,0.572825977153433,0.827874452142052,0.241977295381452,no
comp_fluency,MT.TI_heteroplasmic,0.442443160690594,0.785314457609798,197.465330732868,0.563396173855279,0.573804342359895,0.772486523897573,0.241236169481786,no
comp_overall2,MT.TQ_heteroplasmic,-0.368126155051952,0.658555720946358,124.787379597111,-0.558990140610953,0.577170241429864,0.865058769934006,0.238696068978353,no
comp_fluency,MT.ND3_heteroplasmic,0.440396326194243,0.79318751832844,199.162739026598,0.555223469883052,0.57936489292318,0.772486523897573,0.237047824754756,no
z_af,MT.ND3_heteroplasmic,0.503229498786341,0.906678314951894,195.390006814607,0.555025404807483,0.579512116499437,0.827874452142052,0.236937479331387,no
z_wll,MT.RNR2_heteroplasmic,0.167382121646138,0.302329554367666,139.19139229458,0.553641280609248,0.580712631023202,0.952684798714205,0.23603872756747,no
z_wll,MT.CO1_heteroplasmic,-0.197096559454011,0.369195619073095,150.360271318163,-0.53385400387156,0.594230902213812,0.952684798714205,0.226044767019112,no
